name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,state,adj_latitude,adj_longitude,avg_air_temperature,avg_alpha,avg_aod,avg_asymmetry,avg_cld_opd_dcomp,avg_cld_reff_dcomp,avg_clearsky_dhi,avg_clearsky_dni,avg_clearsky_ghi,avg_cloud_press_acha,avg_cloud_type,avg_dew_point,avg_dhi,avg_dni,avg_ghi,avg_ozone,avg_relative_humidity,avg_solar_zenith_angle,avg_ssa,avg_surface_albedo,avg_surface_pressure,avg_total_precipitable_water,avg_wind_direction,avg_wind_speed,std_air_temperature,std_alpha,std_aod,std_asymmetry,std_cld_opd_dcomp,std_cld_reff_dcomp,std_clearsky_dhi,std_clearsky_dni,std_clearsky_ghi,std_cloud_press_acha,std_cloud_type,std_dew_point,std_dhi,std_dni,std_ghi,std_ozone,std_relative_humidity,std_solar_zenith_angle,std_ssa,std_surface_albedo,std_surface_pressure,std_total_precipitable_water,std_wind_direction,std_wind_speed,wind_u5,wind_5_10,wind_10_15,wind_15_20,wind_20_25,wind_o25,temp_u0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_o40,wind_power_density
Salt Valley Wind Plant,USA0007965,1.2,40.9044,-96.6231,Wind,,,,1999,Lincoln Electric System,2019,2.834,2.723,2.36,2.212,2.407,2.33,2.363,U.S. Energy Information Administration,3.62,3.49,2.81,2.47,2.84,Nebraska,40.89,-96.62,10.3894063926941,1.26657876712329,0.1469424543379,0.607311643835616,4.04765867579909,3.96313242009132,49.9738584474886,329.833904109589,232.503196347032,119.565296803653,3.1810502283105,4.89926940639269,62.8510273972603,216.069520547945,182.697260273973,0.310854566210046,73.61425,89.7039577625571,0.928078767123288,0.282520547945205,969.819063926941,1.87908675799087,199.408333333333,3.35198630136986,11.9888770601592,0.179339212545586,0.104586120551499,0.00658617977013,12.4774032653638,9.76976115582288,61.2025634158736,369.449875390226,305.247720702956,230.806462503951,3.09748119681144,10.8133971917693,93.5622693234489,323.73930592905,268.180747152324,0.0332543242585,19.4655729602387,35.688542581408,0.026860381551835,0.24769115267209,7.53951702246148,1.23815523652462,99.4218161838501,1.84206819436444,0.807191780821918,0.190182648401826,0.002625570776256,0,0,0,0.205251141552511,0.270662100456621,0.250570776255708,0.231849315068493,0.041666666666667,0,45.6700977911865
Iowa Distributed Wind Generation Project,USA0007966,2.3,43.0347,-94.1406,Wind,,,,2000,City of Algona - (IA),2019,5.314,5.465,2.741,0,1.108,4.068,4.386,U.S. Energy Information Administration,6.05,5.77,6.15,5.9,4.37,Iowa,43.05,-94.14,7.4486301369863,1.26022716894977,0.15965448630137,0.605804794520548,5.23564155251142,4.6646095890411,51.0130136986301,324.983105022831,226.28698630137,131.680251141553,3.28527397260274,2.21792237442922,61.7431506849315,197.134132420091,167.888698630137,0.323912100456621,72.1242602739726,89.6942602739726,0.93401598173516,0.34213698630137,965.739726027397,1.62624429223744,208.217579908676,3.70424657534247,12.6091258698254,0.200472514864722,0.140893271340745,0.0066614665675,14.3588183403715,10.3260964693861,65.2212606773457,366.990045573686,299.055200711596,237.489944363776,2.99295406107361,11.4591043054228,93.9166248874811,316.228075637315,254.438782654796,0.039799962594564,18.6827362256566,34.5837940945373,0.024253978072611,0.314236335240593,7.78717021878058,1.11113687908628,99.6890366532166,2.01263480581427,0.753538812785388,0.240068493150685,0.006392694063927,0,0,0,0.28162100456621,0.252853881278539,0.261415525114155,0.18527397260274,0.018835616438356,0,61.5624005752837
Chamberlain Wind Project,USA0007974,2.6,43.8485,-99.2476,Wind,,,,2001,Basin Electric Power Coop,2019,4.743,3.99,2.895,5.157,3.286,1.208,1.566,U.S. Energy Information Administration,6.64,6.42,6.59,5.91,5.71,South Dakota,43.85,-99.26,8.98246575342466,1.23921347031963,0.135025239726027,0.612670091324201,3.62397488584475,4.76732762557078,47.8648401826484,332.268835616438,224.79200913242,122.447260273973,3.40821917808219,2.41912100456621,62.4196347031963,214.166095890411,178.567579908676,0.321342922374429,67.3716746575342,89.704551369863,0.935551369863014,0.324849315068493,950.791894977169,1.60186073059361,196.777397260274,3.41634703196347,12.3125732352537,0.305890175029014,0.11251052979108,0.005732294199996,11.3435684390264,11.0746108156967,59.5627216040632,369.833500099578,297.830276941561,226.090752789804,2.97505243841545,10.3161547473245,92.488859888743,318.940031245494,261.537043918508,0.037914063879536,19.4346356329134,34.1747511954896,0.022069671961719,0.286743246865237,7.72840653963922,0.993451140126501,102.254274968776,1.9231822677063,0.7912100456621,0.205707762557078,0.003082191780822,0,0,0,0.246118721461187,0.271232876712329,0.255936073059361,0.183904109589041,0.042009132420091,0.000799086757991,48.9550905694595
Dinosaur Point,USA0010005,17.4,37.0478,-121.1708,Wind,,,,1988,International Turbine Res Inc,2019,24.822,24.587,27.126,,21.03,9.474,13.972,U.S. Energy Information Administration,30.66,30.73,20.28,26.15,26.23,California,37.05,-121.18,15.1904452054795,1.04900799086758,0.092530342465754,0.643803652968037,1.44195890410959,2.6059303652968,42.0929223744292,364.338584474886,251.412671232877,80.9490867579909,1.90308219178082,6.18549086757991,54.1063926940639,289.287557077626,226.840182648402,0.300341780821918,66.0967203196347,89.7021609589041,0.921514840182648,0.163917808219178,975.615296803653,1.44171232876712,250.87203196347,2.20947488584475,8.39465930366582,0.262694346286419,0.05211988953625,0.008244704147098,6.43728101179335,7.54390876496098,48.9919786105038,397.374156547781,327.521850014163,203.061888381017,2.66026736693216,4.06217946946637,76.2865713195951,370.839571130707,313.594089544473,0.034300483090004,28.4046620600157,37.5981272859456,0.020239992935166,0.027967570958757,5.37869072851409,0.539831099396282,69.9563868928635,1.23585021408437,0.977739726027397,0.022260273972603,0,0,0,0,0.00216894977169,0.268036529680365,0.472488584474886,0.175684931506849,0.078424657534247,0.003196347031963,12.7973062530563
Tehachapi Wind Resource I,USA0010191,8.7,35.0606,-118.3897,Wind,,,,1985,CalWind Resources Inc,2019,13.228,13.895,12.097,15.248,14.072,14.337,14.038,U.S. Energy Information Administration,10.57,11.06,12.32,13.52,12.9,California,35.05,-118.38,11.8230821917808,1.16944406392694,0.061098892694064,0.631824200913242,1.53469520547945,1.94737785388128,35.888698630137,407.295547945206,269.887785388128,54.5219178082192,1.50844748858448,-0.419269406392694,44.8751141552511,350.134246575342,249.460730593607,0.294484132420091,43.7342922374429,89.6970331050228,0.909986301369863,0.23558904109589,846.868607305936,0.9037100456621,224.268378995434,2.81230593607306,9.68497325440034,0.264147589286653,0.039386477785346,0.00877970671106,8.30789595254068,7.28090824178296,41.3995462457823,434.574134664032,347.294288623012,163.104188972108,2.55191249988316,5.81656808663112,66.5434380865929,418.534637133105,335.892422114833,0.027782114155359,25.9705649792957,38.5791641096685,0.025077046473541,0.176198816379682,6.22485597025004,0.494246511931667,99.7134479103797,1.55150955436011,0.890753424657534,0.109246575342466,0,0,0,0,0.050114155251142,0.422260273972603,0.304680365296804,0.162557077625571,0.060388127853881,0,23.4678128575707
Cameron Ridge LLC,USA0010586,59.6,35.075,-118.3158,Wind,,,,1985,Terra-Gen Operating Co-Wind,2019,162.659,176.326,152.363,173.868,167.738,151.385,153.82,U.S. Energy Information Administration,145.06,138,149.4,155,151.03,California,35.09,-118.3,12.2650684931507,1.12868949771689,0.071076655251142,0.631729452054795,1.55250114155251,2.52393264840183,37.6931506849315,399.50799086758,267.681849315068,59.6415525114155,1.63253424657534,-0.551826484018265,48.1083333333333,338.032876712329,245.934817351598,0.29730799086758,43.7341141552511,89.7162305936073,0.913714611872146,0.194,854.477168949772,0.930456621004566,223.92899543379,2.7884703196347,9.51107568110711,0.262200417313691,0.052159468396245,0.00895892963739,8.14654471183997,9.31988227739029,44.3443885206407,429.000675010996,344.937924121191,170.770629925284,2.72834202375708,6.01915199408381,72.852498595176,410.766533492985,332.632259166155,0.031599395695047,26.7525416803974,38.5554502320389,0.025836963649059,0.061975691213329,5.36781200153142,0.511251728906655,99.3167502295549,1.55920874377144,0.89634703196347,0.10365296803653,0,0,0,0,0.036986301369863,0.411073059360731,0.321461187214612,0.168949771689498,0.061529680365297,0,23.5294470210777
Ridgetop Energy LLC,USA0010597,29,35.0697,-118.3167,Wind,,,,1984,Terra-Gen Operating Co-Wind,2019,63.019,66.775,53.707,55.674,48.346,45.134,43.666,U.S. Energy Information Administration,44.74,41.81,46.45,55,48.64,California,35.05,-118.3,12.6366438356164,1.1137397260274,0.067285251141553,0.631729452054795,1.31339383561644,1.96838698630137,37.5018264840183,400.143835616438,268.174315068493,58.4036529680365,1.46689497716895,-0.650114155251142,46.9802511415525,343.435730593607,248.32203196347,0.299861415525114,44.2896073059361,89.7175342465753,0.911606164383561,0.214493150684931,867.576484018265,0.924018264840183,220.01095890411,2.80173515981735,9.99002034754584,0.247085589263807,0.03551156367463,0.00895892963739,7.20736225412911,7.61840281344241,43.1020266328662,429.093714254457,345.562536024602,175.332267958779,2.58548811761373,5.84185222595462,68.6019835298453,411.853275761269,334.486097094178,0.030251457111303,26.7095601863467,38.5716510558696,0.023465463953011,0.036295259242742,5.05956253306551,0.488023990385216,101.17104788491,1.55490876949674,0.893264840182648,0.106735159817352,0,0,0,0,0.05,0.389840182648402,0.312899543378995,0.166095890410959,0.08013698630137,0.001027397260274,23.9479823764085
Karen Avenue Wind Farm,USA0010718,11.7,33.9219,-116.5622,Wind,,,,1985,San Gorgonio Farms Inc,2019,28.584,23.329,28.552,27.156,26.991,31.227,30.699,U.S. Energy Information Administration,16.26,14.02,14.44,21.98,21.39,California,33.93,-116.58,21.1296347031963,1.15517579908676,0.105218150684931,0.629536529680365,0.96636301369863,1.78595319634703,46.166894977169,362.686073059361,260.547374429224,53.016095890411,1.3222602739726,2.52487442922374,52.12899543379,326.162671232877,246.369634703196,0.286049429223744,45.9234440639269,89.7043607305936,0.918754566210045,0.233452054794521,982.481849315069,1.64005707762557,197.721461187215,1.89673515981735,9.32381241492717,0.264529160693558,0.067574729117485,0.010357305621527,6.33693415895161,7.96661462823424,55.5512598030081,398.406364605978,336.146691508758,169.347681702467,2.57741462012581,6.86633779631402,70.5855469146299,385.651043734493,327.226218848205,0.024533830889645,26.9684407626415,39.113981251468,0.02182514656374,0.016221954593893,4.9179467497119,1.10752170842909,97.5276288949184,1.34872790672891,0.966666666666667,0.033333333333333,0,0,0,0,0,0.100342465753425,0.365182648401826,0.333904109589041,0.176598173515982,0.023972602739726,11.3717058027325
Wintec Energy Ltd,USA0050276,5.9,33.9131,-116.5631,Wind,,,,1987,Wintec Energy Ltd,2019,7.626,7.85,3.11,2.295,2.044,0.358,0.071,U.S. Energy Information Administration,9.71,6.9,7.44,6.16,5.79,California,33.93,-116.58,21.1296347031963,1.15517579908676,0.105218150684931,0.629536529680365,0.96636301369863,1.78595319634703,46.166894977169,362.686073059361,260.547374429224,53.016095890411,1.3222602739726,2.52487442922374,52.12899543379,326.162671232877,246.369634703196,0.286049429223744,45.9234440639269,89.7043607305936,0.918754566210045,0.233452054794521,982.481849315069,1.64005707762557,197.721461187215,1.89673515981735,9.32381241492717,0.264529160693558,0.067574729117485,0.010357305621527,6.33693415895161,7.96661462823424,55.5512598030081,398.406364605978,336.146691508758,169.347681702467,2.57741462012581,6.86633779631402,70.5855469146299,385.651043734493,327.226218848205,0.024533830889645,26.9684407626415,39.113981251468,0.02182514656374,0.016221954593893,4.9179467497119,1.10752170842909,97.5276288949184,1.34872790672891,0.966666666666667,0.033333333333333,0,0,0,0,0,0.100342465753425,0.365182648401826,0.333904109589041,0.176598173515982,0.023972602739726,11.3717058027325
San Gorgonio Farms Wind Farm,USA0050281,31,33.9261,-116.615,Wind,,,,1983,San Gorgonio Farms Inc,2019,78.855,69.706,80.645,88.967,87.582,91.854,88.707,U.S. Energy Information Administration,75.85,64.37,72.65,82.56,76.57,California,33.93,-116.62,20.4703881278539,1.15374315068493,0.100104988584475,0.629536529680365,0.882002283105023,1.83993493150685,44.9469178082192,366.881506849315,261.759474885845,59.1520547945205,1.34098173515982,2.24304794520548,52.6744292237443,325.602739726027,247.047945205479,0.289980936073059,45.7587557077626,89.7217317351598,0.919368721461187,0.235369863013699,970.239497716895,1.53297945205479,199.853881278539,1.88478310502283,9.59179478755759,0.229777031612692,0.059939730548055,0.010357305621527,5.69147294254331,7.71966698378336,53.1400646830464,401.927695314398,337.827923932829,180.323055310739,2.54795305875535,6.50358696795515,71.9306501631495,386.165085172381,328.166838600376,0.025977395812277,27.1785753745079,39.115907593949,0.023574444965746,0.012570357444504,3.52731568081101,0.93196790836712,94.5375387305377,1.35222552848895,0.967808219178082,0.032191780821918,0,0,0,0,0,0.128310502283105,0.366210045662101,0.317579908675799,0.163356164383562,0.024543378995434,11.1663788887226
Windland,USA0050386,15.3,35.0522,-118.3581,Wind,,,,1983,Terra-Gen Operating Co-Wind,2019,34.916,33.912,27.259,35.82513,34.41042,32.5908,31.592,U.S. Energy Information Administration,19.92,23.07,26.38,25.44,27.29,California,35.05,-118.34,12.1946347031963,1.15552168949772,0.066732888127854,0.631729452054795,1.38996347031963,2.18508333333333,36.8599315068493,401.400913242009,267.90296803653,57.5679223744292,1.71643835616438,0.15513698630137,47.0317351598174,340.913470319635,247.030936073059,0.298697488584475,46.5469817351598,89.7038538812785,0.913246575342466,0.203150684931507,859.110730593607,0.97804794520548,230.047488584475,2.77575342465753,9.80784065617289,0.252997332425655,0.046535684563327,0.00895892963739,7.52673416499124,8.06475062487721,42.9606928975998,429.895859746842,345.1059455358,167.793363212462,2.76589703377605,5.40514055206962,70.3014117254876,411.332193686372,333.41351877148,0.034035541363178,27.2750835066819,38.5764482448643,0.024918285168934,0.050026752085144,4.22771610736788,0.539635491285258,96.0161077648631,1.52256205410715,0.899200913242009,0.100799086757991,0,0,0,0,0.042694063926941,0.420547945205479,0.30296803652968,0.161187214611872,0.072488584474886,0.000114155251142,22.7214456237686
